Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000117,Darwin,Bromley,Freeform_13613,328.7,,,,,,,,,,,,,,,,,,,Southall Green,Freeform_13656,Freeform 13656,,,,,,,,,,,,,,,,,,,,,E05000190,Southall Green,Ealing,Southall Green,Freeform_13656,Freeform 91
E05000118,Farnborough and Crofton,Bromley,Freeform_13621,"1,327.9",,,,,,,,,,,,,,,,,,,Northolt West End,Freeform_13657,Freeform 13657,,,,,,,,,,,,,,,,,,,,,E05000185,Northolt West End,Ealing,Northolt West End,Freeform_13657,Freeform 92
E05000119,Hayes and Coney Hall,Bromley,Freeform_13614,393.9,,,,,,,,,,,,,,,,,,,Dormers Wells,Freeform_13658,Freeform 13658,,,,,,,,,,,,,,,,,,,,,E05000172,Dormers Wells,Ealing,Dormers Wells,Freeform_13658,Freeform 93
E05000120,Kelsey And Eden Park,Bromley,Freeform_13620,229.1,,,,,,,,,,,,,,,,,,,Greenford Broadway,Freeform_13659,Freeform 13659,,,,,,,,,,,,,,,,,,,,,E05000177,Greenford Broadway,Ealing,Greenford Broadway,Freeform_13659,Freeform 94
E05000121,Mottingham and Chislehurst North,Bromley,Freeform_13631,"2,904.0",,,,,,,,,,,,,,,,,,,North Greenford,Freeform_13660,Freeform 13660,,,,,,,,,,,,,,,,,,,,,E05000183,North Greenford,Ealing,North Greenford,Freeform_13660,Freeform 95
E05000122,Orpington,Bromley,Freeform_13632,700.6,,,,,,,,,,,,,,,,,,,Northfield,Freeform_13661,Freeform 13661,,,,,,,,,,,,,,,,,,,,,E05000182,Northfield,Ealing,Northfield,Freeform_13661,Freeform 96
E05000123,Penge And Cator,Bromley,Freeform_13627,"1,082.3",,,,,,,,,,,,,,,,,,,East Acton,Freeform_13662,Freeform 13662,,,,,,,,,,,,,,,,,,,,,E05000175,East Acton,Ealing,East Acton,Freeform_13662,Freeform 97
E05000124,Petts Wood and Knoll,Bromley,Freeform_13625,519.9,,,,,,,,,,,,,,,,,,,Southall Broadway,Freeform_13663,Freeform 13663,,,,,,,,,,,,,,,,,,,,,E05000189,Southall Broadway,Ealing,Southall Broadway,Freeform_13663,Freeform 98
E05000125,Plaistow and Sundridge,Bromley,Freeform_13629,244.2,,,,,,,,,,,,,,,,,,,Elthorne,Freeform_13664,Freeform 13664,,,,,,,,,,,,,,,,,,,,,E05000176,Elthorne,Ealing,Elthorne,Freeform_13664,Freeform 99
E05000126,Shortlands,Bromley,Freeform_13622,425.6,,,,,,,,,,,,,,,,,,,Walpole,Freeform_13665,Freeform 13665,,,,,,,,,,,,,,,,,,,,,E05000192,Walpole,Ealing,Walpole,Freeform_13665,Freeform 100
E05000127,West Wickham,Bromley,Freeform_13618,296.0,,,,,,,,,,,,,,,,,,,Lady Margaret,Freeform_13666,Freeform 13666,,,,,,,,,,,,,,,,,,,,,E05000181,Lady Margaret,Ealing,Lady Margaret,Freeform_13666,Freeform 101
E05000128,Belsize,Camden,Freeform_14087,430.1,,,,,,,,,,,,,,,,,,,Northolt Mandeville,Freeform_13667,Freeform 13667,,,,,,,,,,,,,,,,,,,,,E05000184,Northolt Mandeville,Ealing,Northolt Mandeville,Freeform_13667,Freeform 102
E05000129,Bloomsbury,Camden,Freeform_14075,400.1,,,,,,,,,,,,,,,,,,,Hobbayne,Freeform_13668,Freeform 13668,,,,,,,,,,,,,,,,,,,,,E05000180,Hobbayne,Ealing,Hobbayne,Freeform_13668,Freeform 103
E05000130,Camden Town With Primrose Hill,Camden,Freeform_14078,245.7,,,,,,,,,,,,,,,,,,,Cleveland,Freeform_13669,Freeform 13669,,,,,,,,,,,,,,,,,,,,,E05000171,Cleveland,Ealing,Cleveland,Freeform_13669,Freeform 104
E05000131,Cantelowes,Camden,Freeform_14079,441.0,,,,,,,,,,,,,,,,,,,Greenford Green,Freeform_13670,Freeform 13670,,,,,,,,,,,,,,,,,,,,,E05000178,Greenford Green,Ealing,Greenford Green,Freeform_13670,Freeform 105
E05000132,Fortune Green,Camden,Freeform_14081,78.1,,,,,,,,,,,,,,,,,,,Perivale,Freeform_13671,Freeform 13671,,,,,,,,,,,,,,,,,,,,,E05000187,Perivale,Ealing,Perivale,Freeform_13671,Freeform 106
E05000133,Frognal And Fitzjohns,Camden,Freeform_14082,102.1,,,,,,,,,,,,,,,,,,,Ealing Common,Freeform_13672,Freeform 13672,,,,,,,,,,,,,,,,,,,,,E05000174,Ealing Common,Ealing,Ealing Common,Freeform_13672,Freeform 107
E05000134,Gospel Oak,Camden,Freeform_14083,116.6,,,,,,,,,,,,,,,,,,,Ealing Broadway,Freeform_13673,Freeform 13673,,,,,,,,,,,,,,,,,,,,,E05000173,Ealing Broadway,Ealing,Ealing Broadway,Freeform_13673,Freeform 108
E05000135,Hampstead Town,Camden,Freeform_14084,75.9,,,,,,,,,,,,,,,,,,,South Acton,Freeform_13674,Freeform 13674,,,,,,,,,,,,,,,,,,,,,E05000188,South Acton,Ealing,South Acton,Freeform_13674,Freeform 109
E05000136,Haverstock,Camden,Freeform_14088,100.7,,,,,,,,,,,,,,,,,,,Southfield,Freeform_13675,Freeform 13675,,,,,,,,,,,,,,,,,,,,,E05000191,Southfield,Ealing,Southfield,Freeform_13675,Freeform 110
E05000137,Highgate,Camden,Freeform_14073,153.0,,,,,,,,,,,,,,,,,,,Acton Central,Freeform_13676,Freeform 13676,,,,,,,,,,,,,,,,,,,,,E05000170,Acton Central,Ealing,Acton Central,Freeform_13676,Freeform 111
E05000138,Holborn And Covent Garden,Camden,Freeform_14076,69.2,,,,,,,,,,,,,,,,,,,Hanger Hill,Freeform_13677,Freeform 13677,,,,,,,,,,,,,,,,,,,,,E05000179,Hanger Hill,Ealing,Hanger Hill,Freeform_13677,Freeform 112
E05000139,Kentish Town,Camden,Freeform_14085,244.9,,,,,,,,,,,,,,,,,,,Upminster,Freeform_13678,Freeform 13678,,,,,,,,,,,,,,,,,,,,,E05000323,Upminster,Havering,Upminster,Freeform_13678,Freeform 113
E05000140,Kilburn,Camden,Freeform_14074,73.2,,,,,,,,,,,,,,,,,,,Rainham and Wennington,Freeform_13679,Freeform 13679,,,,,,,,,,,,,,,,,,,,,E05000318,Rainham and Wennington,Havering,Rainham and Wennington,Freeform_13679,Freeform 114
E05000141,King's Cross,Camden,Freeform_14080,323.9,,,,,,,,,,,,,,,,,,,South Hornchurch,Freeform_13680,Freeform 13680,,,,,,,,,,,,,,,,,,,,,E05000321,South Hornchurch,Havering,South Hornchurch,Freeform_13680,Freeform 115
E05000142,Regent's Park,Camden,Freeform_14089,119.5,,,,,,,,,,,,,,,,,,,Elm Park,Freeform_13681,Freeform 13681,,,,,,,,,,,,,,,,,,,,,E05000308,Elm Park,Havering,Elm Park,Freeform_13681,Freeform 116
E05000143,St. Pancras And Somers Town,Camden,Freeform_14077,102.9,,,,,,,,,,,,,,,,,,,Brooklands,Freeform_13682,Freeform 13682,,,,,,,,,,,,,,,,,,,,,E05000306,Brooklands,Havering,Brooklands,Freeform_13682,Freeform 117
E05000144,Swiss Cottage,Camden,Freeform_14072,68.5,,,,,,,,,,,,,,,,,,,Romford Town,Freeform_13683,Freeform 13683,,,,,,,,,,,,,,,,,,,,,E05000319,Romford Town,Havering,Romford Town,Freeform_13683,Freeform 118
E05000145,West Hampstead,Camden,Freeform_14086,61.1,,,,,,,,,,,,,,,,,,,Mawneys,Freeform_13684,Freeform 13684,,,,,,,,,,,,,,,,,,,,,E05000316,Mawneys,Havering,Mawneys,Freeform_13684,Freeform 119
E09000001,City of London,City of London,Freeform_14204,135.0,,,,,,,,,,,,,,,,,,,Pettits,Freeform_13685,Freeform 13685,,,,,,,,,,,,,,,,,,,,,E05000317,Pettits,Havering,Pettits,Freeform_13685,Freeform 120
E05011481,Selsdon Vale & Forestdale,Croydon,Freeform_13592,139.9,,,,,,,,,,,,,,,,,,,Hacton,Freeform_13686,Freeform 13686,,,,,,,,,,,,,,,,,,,,,E05000311,Hacton,Havering,Hacton,Freeform_13686,Freeform 121
E05011463,Addiscombe West,Croydon,Freeform_13606,125.7,,,,,,,,,,,,,,,,,,,St. Andrew's,Freeform_13687,Freeform 13687,,,,,,,,,,,,,,,,,,,,,E05000320,St. Andrew's,Havering,St. Andrew's,Freeform_13687,Freeform 122
E05011488,West Thornton,Croydon,Freeform_13599,88.7,,,,,,,,,,,,,,,,,,,Emerson Park,Freeform_13688,Freeform 13688,,,,,,,,,,,,,,,,,,,,,E05000309,Emerson Park,Havering,Emerson Park,Freeform_13688,Freeform 123
E05011478,Sanderstead,Croydon,Freeform_13591,314.9,,,,,,,,,,,,,,,,,,,Squirrel's Heath,Freeform_13689,Freeform 13689,,,,,,,,,,,,,,,,,,,,,E05000322,Squirrel's Heath,Havering,Squirrel's Heath,Freeform_13689,Freeform 124
E05011462,Addiscombe East,Croydon,Freeform_13607,158.8,,,,,,,,,,,,,,,,,,,Harold Wood,Freeform_13690,Freeform 13690,,,,,,,,,,,,,,,,,,,,,E05000312,Harold Wood,Havering,Harold Wood,Freeform_13690,Freeform 125
E05011475,Park Hill & Whitgift,Croydon,Freeform_13605,271.2,,,,,,,,,,,,,,,,,,,Cranham,Freeform_13691,Freeform 13691,,,,,,,,,,,,,,,,,,,,,E05000307,Cranham,Havering,Cranham,Freeform_13691,Freeform 126
E05011489,Woodside,Croydon,Freeform_13610,144.1,,,,,,,,,,,,,,,,,,,Havering Park,Freeform_13692,Freeform 13692,,,,,,,,,,,,,,,,,,,,,E05000313,Havering Park,Havering,Havering Park,Freeform_13692,Freeform 127
E05011484,South Croydon,Croydon,Freeform_13593,266.2,,,,,,,,,,,,,,,,,,,Heaton,Freeform_13693,Freeform 13693,,,,,,,,,,,,,,,,,,,,,E05000314,Heaton,Havering,Heaton,Freeform_13693,Freeform 128
E05011468,Fairfield,Croydon,Freeform_13604,774.4,,,,,,,,,,,,,,,,,,,Gooshays,Freeform_13694,Freeform 13694,,,,,,,,,,,,,,,,,,,,,E05000310,Gooshays,Havering,Gooshays,Freeform_13694,Freeform 129
E05011472,Norbury & Pollards Hill,Croydon,Freeform_13601,499.1,,,,,,,,,,,,,,,,,,,Hylands,Freeform_13695,Freeform 13695,,,,,,,,,,,,,,,,,,,,,E05000315,Hylands,Havering,Hylands,Freeform_13695,Freeform 130
E05011473,Norbury Park,Croydon,Freeform_13602,352.7,,,,,,,,,,,,,,,,,,,Heathrow Villages,Freeform_13696,Freeform 13696,,,,,,,,,,,,,,,,,,,,,E05000331,Heathrow Villages,Hillingdon,Heathrow Villages,Freeform_13696,Freeform 131
E05011466,Coulsdon Town,Croydon,Freeform_13585,377.2,,,,,,,,,,,,,,,,,,,Harefield,Freeform_13697,Freeform 13697,,,,,,,,,,,,,,,,,,,,,E05000330,Harefield,Hillingdon,Harefield,Freeform_13697,Freeform 132
E05011470,New Addington North,Croydon,Freeform_13608,148.6,,,,,,,,,,,,,,,,,,,West Drayton,Freeform_13698,Freeform 13698,,,,,,,,,,,,,,,,,,,,,E05000342,West Drayton,Hillingdon,West Drayton,Freeform_13698,Freeform 133
E05011476,Purley & Woodcote,Croydon,Freeform_13586,871.3,,,,,,,,,,,,,,,,,,,Yiewsley,Freeform_13699,Freeform 13699,,,,,,,,,,,,,,,,,,,,,E05000345,Yiewsley,Hillingdon,Yiewsley,Freeform_13699,Freeform 134
E05011477,Purley Oaks & Riddlesdown,Croydon,Freeform_13590,645.6,,,,,,,,,,,,,,,,,,,Uxbridge South,Freeform_13700,Freeform 13700,,,,,,,,,,,,,,,,,,,,,E05000341,Uxbridge South,Hillingdon,Uxbridge South,Freeform_13700,Freeform 135
E05011482,Shirley North,Croydon,Freeform_13597,241.7,,,,,,,,,,,,,,,,,,,Brunel,Freeform_13701,Freeform 13701,,,,,,,,,,,,,,,,,,,,,E05000326,Brunel,Hillingdon,Brunel,Freeform_13701,Freeform 136
E05011464,Bensham Manor,Croydon,Freeform_13600,251.8,,,,,,,,,,,,,,,,,,,Uxbridge North,Freeform_13702,Freeform 13702,,,,,,,,,,,,,,,,,,,,,E05000340,Uxbridge North,Hillingdon,Uxbridge North,Freeform_13702,Freeform 137
E05011479,Selhurst,Croydon,Freeform_13609,417.5,,,,,,,,,,,,,,,,,,,Hillingdon East,Freeform_13703,Freeform 13703,,,,,,,,,,,,,,,,,,,,,E05000332,Hillingdon East,Hillingdon,Hillingdon East,Freeform_13703,Freeform 138
E05011486,Thornton Heath,Croydon,Freeform_13611,634.6,,,,,,,,,,,,,,,,,,,Ickenham,Freeform_13704,Freeform 13704,,,,,,,,,,,,,,,,,,,,,E05000333,Ickenham,Hillingdon,Ickenham,Freeform_13704,Freeform 139
E05011471,New Addington South,Croydon,Freeform_13603,227.3,,,,,,,,,,,,,,,,,,,West Ruislip,Freeform_13705,Freeform 13705,,,,,,,,,,,,,,,,,,,,,E05000343,West Ruislip,Hillingdon,West Ruislip,Freeform_13705,Freeform 140
E05011465,Broad Green,Croydon,Freeform_13598,639.8,,,,,,,,,,,,,,,,,,,Northwood,Freeform_13706,Freeform 13706,,,,,,,,,,,,,,,,,,,,,E05000335,Northwood,Hillingdon,Northwood,Freeform_13706,Freeform 141
E05011487,Waddon,Croydon,Freeform_13587,280.5,,,,,,,,,,,,,,,,,,,South Ruislip,Freeform_13707,Freeform 13707,,,,,,,,,,,,,,,,,,,,,E05000338,South Ruislip,Hillingdon,South Ruislip,Freeform_13707,Freeform 142
E05011483,Shirley South,Croydon,Freeform_13596,237.8,,,,,,,,,,,,,,,,,,,Manor,Freeform_13708,Freeform 13708,,,,,,,,,,,,,,,,,,,,,E05000334,Manor,Hillingdon,Manor,Freeform_13708,Freeform 143
E05011480,Selsdon & Addington Village,Croydon,Freeform_13594,168.1,,,,,,,,,,,,,,,,,,,Eastcote and East Ruislip,Freeform_13709,Freeform 13709,,,,,,,,,,,,,,,,,,,,,E05000329,Eastcote and East Ruislip,Hillingdon,Eastcote and East Ruislip,Freeform_13709,Freeform 144
E05011485,South Norwood,Croydon,Freeform_13595,262.3,,,,,,,,,,,,,,,,,,,Northwood Hills,Freeform_13710,Freeform 13710,,,,,,,,,,,,,,,,,,,,,E05000336,Northwood Hills,Hillingdon,Northwood Hills,Freeform_13710,Freeform 145
E05011469,Kenley,Croydon,Freeform_13589,364.8,,,,,,,,,,,,,,,,,,,Pinkwell,Freeform_13711,Freeform 13711,,,,,,,,,,,,,,,,,,,,,E05000337,Pinkwell,Hillingdon,Pinkwell,Freeform_13711,Freeform 146
E05011474,Old Coulsdon,Croydon,Freeform_13588,197.1,,,,,,,,,,,,,,,,,,,Botwell,Freeform_13712,Freeform 13712,,,,,,,,,,,,,,,,,,,,,E05000325,Botwell,Hillingdon,Botwell,Freeform_13712,Freeform 147
E05011467,Crystal Palace & Upper Norwood,Croydon,Freeform_13612,216.7,,,,,,,,,,,,,,,,,,,Charville,Freeform_13713,Freeform 13713,,,,,,,,,,,,,,,,,,,,,E05000328,Charville,Hillingdon,Charville,Freeform_13713,Freeform 148
E05000170,Acton Central,Ealing,Freeform_13676,177.5,,,,,,,,,,,,,,,,,,,Townfield,Freeform_13714,Freeform 13714,,,,,,,,,,,,,,,,,,,,,E05000339,Townfield,Hillingdon,Townfield,Freeform_13714,Freeform 149
E05000171,Cleveland,Ealing,Freeform_13669,222.9,,,,,,,,,,,,,,,,,,,Barnhill,Freeform_13715,Freeform 13715,,,,,,,,,,,,,,,,,,,,,E05000324,Barnhill,Hillingdon,Barnhill,Freeform_13715,Freeform 150
E05000172,Dormers Wells,Ealing,Freeform_13658,225.7,,,,,,,,,,,,,,,,,,,Yeading,Freeform_13716,Freeform 13716,,,,,,,,,,,,,,,,,,,,,E05000344,Yeading,Hillingdon,Yeading,Freeform_13716,Freeform 151
E05000173,Ealing Broadway,Ealing,Freeform_13673,185.7,,,,,,,,,,,,,,,,,,,Cavendish,Freeform_13717,Freeform 13717,,,,,,,,,,,,,,,,,,,,,E05000327,Cavendish,Hillingdon,Cavendish,Freeform_13717,Freeform 152
E05000174,Ealing Common,Ealing,Freeform_13672,214.1,,,,,,,,,,,,,,,,,,,Roxeth,Freeform_13718,Freeform 13718,,,,,,,,,,,,,,,,,,,,,E05000302,Roxeth,Harrow,Roxeth,Freeform_13718,Freeform 153
E05000175,East Acton,Ealing,Freeform_13662,427.6,,,,,,,,,,,,,,,,,,,Harrow on the Hill,Freeform_13719,Freeform 13719,,,,,,,,,,,,,,,,,,,,,E05000289,Harrow on the Hill,Harrow,Harrow on the Hill,Freeform_13719,Freeform 154
E05000176,Elthorne,Ealing,Freeform_13664,200.0,,,,,,,,,,,,,,,,,,,Pinner,Freeform_13720,Freeform 13720,,,,,,,,,,,,,,,,,,,,,E05000297,Pinner,Harrow,Pinner,Freeform_13720,Freeform 155
E05000177,Greenford Broadway,Ealing,Freeform_13659,251.7,,,,,,,,,,,,,,,,,,,Pinner South,Freeform_13721,Freeform 13721,,,,,,,,,,,,,,,,,,,,,E05000298,Pinner South,Harrow,Pinner South,Freeform_13721,Freeform 156
E05000178,Greenford Green,Ealing,Freeform_13670,338.5,,,,,,,,,,,,,,,,,,,Greenhill,Freeform_13722,Freeform 13722,,,,,,,,,,,,,,,,,,,,,E05000288,Greenhill,Harrow,Greenhill,Freeform_13722,Freeform 157
E05000179,Hanger Hill,Ealing,Freeform_13677,327.7,,,,,,,,,,,,,,,,,,,Headstone North,Freeform_13723,Freeform 13723,,,,,,,,,,,,,,,,,,,,,E05000292,Headstone North,Harrow,Headstone North,Freeform_13723,Freeform 158
E05000180,Hobbayne,Ealing,Freeform_13668,220.9,,,,,,,,,,,,,,,,,,,Marlborough,Freeform_13724,Freeform 13724,,,,,,,,,,,,,,,,,,,,,E05000296,Marlborough,Harrow,Marlborough,Freeform_13724,Freeform 159
E05000181,Lady Margaret,Ealing,Freeform_13666,154.2,,,,,,,,,,,,,,,,,,,Harrow Weald,Freeform_13725,Freeform 13725,,,,,,,,,,,,,,,,,,,,,E05000290,Harrow Weald,Harrow,Harrow Weald,Freeform_13725,Freeform 160
E05000182,Northfield,Ealing,Freeform_13661,154.0,,,,,,,,,,,,,,,,,,,Stanmore Park,Freeform_13726,Freeform 13726,,,,,,,,,,,,,,,,,,,,,E05000303,Stanmore Park,Harrow,Stanmore Park,Freeform_13726,Freeform 161
E05000183,North Greenford,Ealing,Freeform_13660,325.7,,,,,,,,,,,,,,,,,,,Canons,Freeform_13727,Freeform 13727,,,,,,,,,,,,,,,,,,,,,E05000286,Canons,Harrow,Canons,Freeform_13727,Freeform 162
E05000184,Northolt Mandeville,Ealing,Freeform_13667,275.7,,,,,,,,,,,,,,,,,,,Rayners Lane,Freeform_13728,Freeform 13728,,,,,,,,,,,,,,,,,,,,,E05000300,Rayners Lane,Harrow,Rayners Lane,Freeform_13728,Freeform 163
E05000185,Northolt West End,Ealing,Freeform_13657,354.5,,,,,,,,,,,,,,,,,,,Roxbourne,Freeform_13729,Freeform 13729,,,,,,,,,,,,,,,,,,,,,E05000301,Roxbourne,Harrow,Roxbourne,Freeform_13729,Freeform 164
E05000186,Norwood Green,Ealing,Freeform_13655,379.6,,,,,,,,,,,,,,,,,,,West Harrow,Freeform_13730,Freeform 13730,,,,,,,,,,,,,,,,,,,,,E05000305,West Harrow,Harrow,West Harrow,Freeform_13730,Freeform 165
E05000187,Perivale,Ealing,Freeform_13671,336.8,,,,,,,,,,,,,,,,,,,Hatch End,Freeform_13731,Freeform 13731,,,,,,,,,,,,,,,,,,,,,E05000291,Hatch End,Harrow,Hatch End,Freeform_13731,Freeform 166
E05000188,South Acton,Ealing,Freeform_13674,171.9,,,,,,,,,,,,,,,,,,,Headstone South,Freeform_13732,Freeform 13732,,,,,,,,,,,,,,,,,,,,,E05000293,Headstone South,Harrow,Headstone South,Freeform_13732,Freeform 167
E05000189,Southall Broadway,Ealing,Freeform_13663,161.7,,,,,,,,,,,,,,,,,,,Kenton West,Freeform_13733,Freeform 13733,,,,,,,,,,,,,,,,,,,,,E05000295,Kenton West,Harrow,Kenton West,Freeform_13733,Freeform 168
E05000190,Southall Green,Ealing,Freeform_13656,158.6,,,,,,,,,,,,,,,,,,,Wealdstone,Freeform_13734,Freeform 13734,,,,,,,,,,,,,,,,,,,,,E05000304,Wealdstone,Harrow,Wealdstone,Freeform_13734,Freeform 169
E05000191,Southfield,Ealing,Freeform_13675,142.9,,,,,,,,,,,,,,,,,,,Belmont,Freeform_13735,Freeform 13735,,,,,,,,,,,,,,,,,,,,,E05000285,Belmont,Harrow,Belmont,Freeform_13735,Freeform 170
E05000192,Walpole,Ealing,Freeform_13665,146.6,,,,,,,,,,,,,,,,,,,Kenton East,Freeform_13736,Freeform 13736,,,,,,,,,,,,,,,,,,,,,E05000294,Kenton East,Harrow,Kenton East,Freeform_13736,Freeform 171
E05000193,Bowes,Enfield,Freeform_13890,148.3,,,,,,,,,,,,,,,,,,,Queensbury,Freeform_13737,Freeform 13737,,,,,,,,,,,,,,,,,,,,,E05000299,Queensbury,Harrow,Queensbury,Freeform_13737,Freeform 172
E05000194,Bush Hill Park,Enfield,Freeform_13894,252.4,,,,,,,,,,,,,,,,,,,Edgware,Freeform_13738,Freeform 13738,,,,,,,,,,,,,,,,,,,,,E05000287,Edgware,Harrow,Edgware,Freeform_13738,Freeform 173
E05000195,Chase,Enfield,Freeform_13878,"1,693.5",,,,,,,,,,,,,,,,,,,Northwick Park,Freeform_13739,Freeform 13739,,,,,,,,,,,,,,,,,,,,,E05000096,Northwick Park,Brent,Northwick Park,Freeform_13739,Freeform 174
E05000196,Cockfosters,Enfield,Freeform_13880,"1,041.3",,,,,,,,,,,,,,,,,,,Wembley Central,Freeform_13740,Freeform 13740,,,,,,,,,,,,,,,,,,,,,E05000104,Wembley Central,Brent,Wembley Central,Freeform_13740,Freeform 175
E05000197,Edmonton Green,Enfield,Freeform_13884,312.6,,,,,,,,,,,,,,,,,,,Preston,Freeform_13741,Freeform 13741,,,,,,,,,,,,,,,,,,,,,E05000097,Preston,Brent,Preston,Freeform_13741,Freeform 176
E05000198,Enfield Highway,Enfield,Freeform_13889,463.7,,,,,,,,,,,,,,,,,,,Stonebridge,Freeform_13742,Freeform 13742,,,,,,,,,,,,,,,,,,,,,E05000100,Stonebridge,Brent,Stonebridge,Freeform_13742,Freeform 177
E05000199,Enfield Lock,Enfield,Freeform_13898,325.2,,,,,,,,,,,,,,,,,,,Welsh Harp,Freeform_13743,Freeform 13743,,,,,,,,,,,,,,,,,,,,,E05000103,Welsh Harp,Brent,Welsh Harp,Freeform_13743,Freeform 178
E05000200,Grange,Enfield,Freeform_13886,328.5,,,,,,,,,,,,,,,,,,,Barnhill,Freeform_13744,Freeform 13744,,,,,,,,,,,,,,,,,,,,,E05000086,Barnhill,Brent,Barnhill,Freeform_13744,Freeform 179
E05000201,Haselbury,Enfield,Freeform_13893,179.6,,,,,,,,,,,,,,,,,,,Fryent,Freeform_13745,Freeform 13745,,,,,,,,,,,,,,,,,,,,,E05000090,Fryent,Brent,Fryent,Freeform_13745,Freeform 180
E05000202,Highlands,Enfield,Freeform_13881,508.8,,,,,,,,,,,,,,,,,,,Sudbury,Freeform_13746,Freeform 13746,,,,,,,,,,,,,,,,,,,,,E05000101,Sudbury,Brent,Sudbury,Freeform_13746,Freeform 181
E05000203,Jubilee,Enfield,Freeform_13887,392.8,,,,,,,,,,,,,,,,,,,Alperton,Freeform_13747,Freeform 13747,,,,,,,,,,,,,,,,,,,,,E05000085,Alperton,Brent,Alperton,Freeform_13747,Freeform 182
E05000204,Lower Edmonton,Enfield,Freeform_13885,218.2,,,,,,,,,,,,,,,,,,,Kensal Green,Freeform_13748,Freeform 13748,,,,,,,,,,,,,,,,,,,,,E05000092,Kensal Green,Brent,Kensal Green,Freeform_13748,Freeform 183
E05000205,Palmers Green,Enfield,Freeform_13883,194.2,,,,,,,,,,,,,,,,,,,Harlesden,Freeform_13749,Freeform 13749,,,,,,,,,,,,,,,,,,,,,E05000091,Harlesden,Brent,Harlesden,Freeform_13749,Freeform 184
E05000206,Ponders End,Enfield,Freeform_13888,354.3,,,,,,,,,,,,,,,,,,,Willesden Green,Freeform_13750,Freeform 13750,,,,,,,,,,,,,,,,,,,,,E05000105,Willesden Green,Brent,Willesden Green,Freeform_13750,Freeform 185
E05000207,Southbury,Enfield,Freeform_13896,286.7,,,,,,,,,,,,,,,,,,,Queens Park,Freeform_13751,Freeform 13751,,,,,,,,,,,,,,,,,,,,,E05000098,Queens Park,Brent,Queens Park,Freeform_13751,Freeform 186
E05000208,Southgate,Enfield,Freeform_13892,268.7,,,,,,,,,,,,,,,,,,,Brondesbury Park,Freeform_13752,Freeform 13752,,,,,,,,,,,,,,,,,,,,,E05000087,Brondesbury Park,Brent,Brondesbury Park,Freeform_13752,Freeform 187
E05000209,Southgate Green,Enfield,Freeform_13891,261.4,,,,,,,,,,,,,,,,,,,Kilburn,Freeform_13753,Freeform 13753,,,,,,,,,,,,,,,,,,,,,E05000094,Kilburn,Brent,Kilburn,Freeform_13753,Freeform 188
E05000210,Town,Enfield,Freeform_13895,223.1,,,,,,,,,,,,,,,,,,,Tokyngton,Freeform_13754,Freeform 13754,,,,,,,,,,,,,,,,,,,,,E05000102,Tokyngton,Brent,Tokyngton,Freeform_13754,Freeform 189
E05000211,Turkey Street,Enfield,Freeform_13897,226.2,,,,,,,,,,,,,,,,,,,Kenton,Freeform_13755,Freeform 13755,,,,,,,,,,,,,,,,,,,,,E05000093,Kenton,Brent,Kenton,Freeform_13755,Freeform 190
E05000212,Upper Edmonton,Enfield,Freeform_13882,264.2,,,,,,,,,,,,,,,,,,,Dudden Hill,Freeform_13756,Freeform 13756,,,,,,,,,,,,,,,,,,,,,E05000089,Dudden Hill,Brent,Dudden Hill,Freeform_13756,Freeform 191
E05000213,Winchmore Hill,Enfield,Freeform_13879,276.1,,,,,,,,,,,,,,,,,,,Dollis Hill,Freeform_13757,Freeform 13757,,,,,,,,,,,,,,,,,,,,,E05000088,Dollis Hill,Brent,Dollis Hill,Freeform_13757,Freeform 192
E05000214,Abbey Wood,Greenwich,Freeform_13860,265.7,,,,,,,,,,,,,,,,,,,Mapesbury,Freeform_13758,Freeform 13758,,,,,,,,,,,,,,,,,,,,,E05000095,Mapesbury,Brent,Mapesbury,Freeform_13758,Freeform 193
E05000215,Blackheath Westcombe,Greenwich,Freeform_13852,213.8,,,,,,,,,,,,,,,,,,,Queensbury,Freeform_13759,Freeform 13759,,,,,,,,,,,,,,,,,,,,,E05000099,Queensbury,Brent,Queensbury,Freeform_13759,Freeform 194
E05000216,Charlton,Greenwich,Freeform_13855,203.1,,,,,,,,,,,,,,,,,,,Underhill,Freeform_13760,Freeform 13760,,,,,,,,,,,,,,,,,,,,,E05000060,Underhill,Barnet,Underhill,Freeform_13760,Freeform 195
E05000217,Coldharbour And New Eltham,Greenwich,Freeform_13845,254.9,,,,,,,,,,,,,,,,,,,High Barnet,Freeform_13761,Freeform 13761,,,,,,,,,,,,,,,,,,,,,E05000056,High Barnet,Barnet,High Barnet,Freeform_13761,Freeform 196
E05000218,Eltham North,Greenwich,Freeform_13854,255.5,,,,,,,,,,,,,,,,,,,West Hendon,Freeform_13762,Freeform 13762,,,,,,,,,,,,,,,,,,,,,E05000062,West Hendon,Barnet,West Hendon,Freeform_13762,Freeform 197
