Mapping-template-london-ward-map-2018,Ward name,Borough name,shape,Values,,,Ensure Macros are enabled then paste your data into column E,,,,,,"To use different colours to the default ones, find the RGB values of the colours you want, and enter them into the cell grid starting in U22.",,,,,,,,,UpdateAllcells,,MapNameToShape,,,,,,,,,,,,1.0,Equal Ranges (4),38.7,755.0,,,,,,,,,,,MapNameToShape,
E05000043,Brunswick Park,Barnet,Freeform_13777,317.5,,,,,,,,,,,,,,,,,,,Purley & Woodcote,Freeform_13586,Freeform 13586,,,,,,,,327.7,,,5.0,Quantiles,,,,,,,,,E05011476,Purley & Woodcote,Croydon,Purley & Woodcote,Freeform_13586,Freeform 21
E05000044,Burnt Oak,Barnet,Freeform_13779,206.7,,,,,,,,,Legend,,,,,,,Colours (RGB),,,Waddon,Freeform_13587,Freeform 13587,,,,,Unrounded ranges,,,,rounded,,5.0,Quintiles,327.7,2904.0,,,,,,,E05011487,Waddon,Croydon,Waddon,Freeform_13587,Freeform 22
E05000045,Childs Hill,Barnet,Freeform_13765,309.3,,,,,,,,,Quintiles,Low (>=),(<) High,Occurrences,,,,Red,Green,Blue,Old Coulsdon,Freeform_13588,Freeform 13588,,,,,Quintile,Low,High,Occurrences,Low,High,,,,,,Quantiles,Low (>=),(<) High,Occurrences,,E05011474,Old Coulsdon,Croydon,Old Coulsdon,Freeform_13588,Freeform 23
E05000046,Colindale,Barnet,Freeform_13764,263.6,,,,,,,,,1,39,110,(132),,,1,223,244,255,Kenley,Freeform_13589,Freeform 13589,,,,1,1,38.7,108.3,132,38.7,110.0,,,,,,1,39,110,(132),,E05011469,Kenley,Croydon,Kenley,Freeform_13589,Freeform 24
E05000047,Coppetts,Barnet,Freeform_13776,272.1,,,,,,,,,2,110,160,(119),,,2,168,224,255,Purley Oaks & Riddlesdown,Freeform_13590,Freeform 13590,,,,2,2,108.3,160.6,119,110.0,160.0,,,,,,2,110,160,(119),,E05011477,Purley Oaks & Riddlesdown,Croydon,Purley Oaks & Riddlesdown,Freeform_13590,Freeform 25
E05000048,East Barnet,Barnet,Freeform_13778,374.9,,,,,,,,,3,160,220,(135),,,3,0,174,239,Sanderstead,Freeform_13591,Freeform 13591,,,,3,3,160.6,216.3,135,160.0,220.0,,,,,,3,160,220,(135),,E05011478,Sanderstead,Croydon,Sanderstead,Freeform_13591,Freeform 26
E05000049,East Finchley,Barnet,Freeform_13768,251.0,,,,,,,,,4,220,330,(127),,,4,0,112,153,Selsdon Vale & Forestdale,Freeform_13592,Freeform 13592,,,,4,4,216.3,327.7,127,220.0,330.0,220.0,330.0,,216.33,"2,903.96",4,220,330,(127),,E05011481,Selsdon Vale & Forestdale,Croydon,Selsdon Vale & Forestdale,Freeform_13592,Freeform 27
E05000050,Edgware,Barnet,Freeform_13770,555.7,,,,,,,,,5,330,"2,900",(119),,,5,0,66,110,South Croydon,Freeform_13593,Freeform 13593,,,,,5,327.7,"2,904.0",119,330.0,2900.0,330.0,2900.0,,"2,903.96","3,620.29",,330,"2,900",(119),,E05011484,South Croydon,Croydon,South Croydon,Freeform_13593,Freeform 28
E05000051,Finchley Church End,Barnet,Freeform_13767,272.6,,,,,,,,,,,,,,,,255,255,255,Selsdon & Addington Village,Freeform_13594,Freeform 13594,,,,No data,,,,0,,,,,,,,,,,,,E05011480,Selsdon & Addington Village,Croydon,Selsdon & Addington Village,Freeform_13594,Freeform 29
E05000052,Garden Suburb,Barnet,Freeform_13766,472.7,,,,,,,,,,,,(632),,,,,,,South Norwood,Freeform_13595,Freeform 13595,,,,,,,,632,,,,,,,,,,,(632),,E05011485,South Norwood,Croydon,South Norwood,Freeform_13595,Freeform 30
E05000053,Golders Green,Barnet,Freeform_13763,297.3,,,,,,,,,,,,,,,,,,,Shirly South,Freeform_13596,Freeform 13596,,,,,,,Rounding,,,,,,,,,,,,,,E05011483,Shirly South,Croydon,Shirly South,Freeform_13596,Freeform 31
E05000054,Hale,Barnet,Freeform_13772,542.3,,,,,,,,,"OR You can override the automatic legend settings, and create your own ranges by entering them in the legend below (cells O36 to P40). 
To return to the automatic settings clear content in cell O36.",,,,,,,,,,Shirley North,Freeform_13597,Freeform 13597,,,,,,,-3," 10,000.0 ",Thousand,10000,,,,,,,,,,,E05011482,Shirley North,Croydon,Shirley North,Freeform_13597,Freeform 32
