Date,Vehicle type,Number of bookings,Number of spaces
19/05/2023,Recycling centre A (pedestrian / bicycle),2,15
20/05/2023,Recycling centre A (cars / small vans),240,320
20/05/2023,Recycling centre A (medium / large vans),26,17
20/05/2023,Recycling centre A (pedestrian / bicycle),0,15
21/05/2023,Recycling centre A (cars / small vans),328,320
21/05/2023,Recycling centre A (medium / large vans),26,17
21/05/2023,Recycling centre A (pedestrian / bicycle),6,15
22/05/2023,Recycling centre A (cars / small vans),263,320
22/05/2023,Recycling centre A (medium / large vans),22,17
22/05/2023,Recycling centre A (pedestrian / bicycle),0,15
25/05/2023,Recycling centre A (cars / small vans),220,320
25/05/2023,Recycling centre A (medium / large vans),26,17
25/05/2023,Recycling centre A (pedestrian / bicycle),2,15
26/05/2023,Recycling centre A (cars / small vans),238,320
26/05/2023,Recycling centre A (medium / large vans),22,17
26/05/2023,Recycling centre A (pedestrian / bicycle),2,15
27/05/2023,Recycling centre A (cars / small vans),242,320
27/05/2023,Recycling centre A (medium / large vans),26,17
27/05/2023,Recycling centre A (pedestrian / bicycle),4,15
28/05/2023,Recycling centre A (cars / small vans),282,320
28/05/2023,Recycling centre A (medium / large vans),26,17
28/05/2023,Recycling centre A (pedestrian / bicycle),2,15
29/05/2023,Recycling centre A (cars / small vans),308,320
29/05/2023,Recycling centre A (medium / large vans),26,17
29/05/2023,Recycling centre A (pedestrian / bicycle),2,15
01/06/2023,Recycling centre A (cars / small vans),304,320
01/06/2023,Recycling centre A (medium / large vans),26,17
01/06/2023,Recycling centre A (pedestrian / bicycle),2,15
02/06/2023,Recycling centre A (cars / small vans),204,320
02/06/2023,Recycling centre A (medium / large vans),24,17
02/06/2023,Recycling centre A (pedestrian / bicycle),0,15
03/06/2023,Recycling centre A (cars / small vans),269,320
03/06/2023,Recycling centre A (medium / large vans),26,17
03/06/2023,Recycling centre A (pedestrian / bicycle),0,15
04/06/2023,Recycling centre A (cars / small vans),323,320
04/06/2023,Recycling centre A (medium / large vans),26,17
04/06/2023,Recycling centre A (pedestrian / bicycle),2,15
05/06/2023,Recycling centre A (cars / small vans),239,320
05/06/2023,Recycling centre A (medium / large vans),26,17
05/06/2023,Recycling centre A (pedestrian / bicycle),2,15
08/06/2023,Recycling centre A (cars / small vans),242,320
08/06/2023,Recycling centre A (medium / large vans),26,17
08/06/2023,Recycling centre A (pedestrian / bicycle),0,15
09/06/2023,Recycling centre A (cars / small vans),243,320
09/06/2023,Recycling centre A (medium / large vans),26,17
09/06/2023,Recycling centre A (pedestrian / bicycle),0,15
10/06/2023,Recycling centre A (cars / small vans),248,320
10/06/2023,Recycling centre A (medium / large vans),26,17
10/06/2023,Recycling centre A (pedestrian / bicycle),0,15
11/06/2023,Recycling centre A (cars / small vans),269,320
11/06/2023,Recycling centre A (medium / large vans),26,17
11/06/2023,Recycling centre A (pedestrian / bicycle),2,15
12/06/2023,Recycling centre A (cars / small vans),240,320
12/06/2023,Recycling centre A (medium / large vans),9,17
12/06/2023,Recycling centre A (pedestrian / bicycle),0,15
15/06/2023,Recycling centre A (cars / small vans),222,320
15/06/2023,Recycling centre A (medium / large vans),26,17
15/06/2023,Recycling centre A (pedestrian / bicycle),0,15
16/06/2023,Recycling centre A (cars / small vans),249,320
16/06/2023,Recycling centre A (medium / large vans),26,17
16/06/2023,Recycling centre A (pedestrian / bicycle),0,15
17/06/2023,Recycling centre A (cars / small vans),220,320
17/06/2023,Recycling centre A (medium / large vans),26,17
17/06/2023,Recycling centre A (pedestrian / bicycle),2,15
18/06/2023,Recycling centre A (cars / small vans),266,320
18/06/2023,Recycling centre A (medium / large vans),24,17
18/06/2023,Recycling centre A (pedestrian / bicycle),2,15
19/06/2023,Recycling centre A (cars / small vans),226,320
19/06/2023,Recycling centre A (medium / large vans),26,17
19/06/2023,Recycling centre A (pedestrian / bicycle),2,15
22/06/2023,Recycling centre A (cars / small vans),293,320
22/06/2023,Recycling centre A (medium / large vans),22,17
22/06/2023,Recycling centre A (pedestrian / bicycle),3,15
23/06/2023,Recycling centre A (cars / small vans),266,320
23/06/2023,Recycling centre A (medium / large vans),22,17
23/06/2023,Recycling centre A (pedestrian / bicycle),2,15
24/06/2023,Recycling centre A (cars / small vans),239,320
24/06/2023,Recycling centre A (medium / large vans),23,17
24/06/2023,Recycling centre A (pedestrian / bicycle),2,15
25/06/2023,Recycling centre A (cars / small vans),243,320
25/06/2023,Recycling centre A (medium / large vans),24,17
25/06/2023,Recycling centre A (pedestrian / bicycle),0,15
26/06/2023,Recycling centre A (cars / small vans),243,320
26/06/2023,Recycling centre A (medium / large vans),20,17
26/06/2023,Recycling centre A (pedestrian / bicycle),2,15
29/06/2023,Recycling centre A (cars / small vans),296,320
29/06/2023,Recycling centre A (medium / large vans),26,17
29/06/2023,Recycling centre A (pedestrian / bicycle),2,15
30/06/2023,Recycling centre A (cars / small vans),223,320
30/06/2023,Recycling centre A (medium / large vans),26,17
30/06/2023,Recycling centre A (pedestrian / bicycle),2,15
01/07/2023,Recycling centre A (cars / small vans),289,320
01/07/2023,Recycling centre A (medium / large vans),26,17
01/07/2023,Recycling centre A (pedestrian / bicycle),0,15
