Date,Group,Total booked,Total spaces
21/05/2023,Recycling centre A (car / small van),328,400
21/05/2023,Recycling centre A (medium / large van),15,15
21/05/2023,Recycling centre A (pedestrian / bicycle),5,48
22/05/2023,Recycling centre A (car / small van),153,400
22/05/2023,Recycling centre A (medium / large van),11,15
22/05/2023,Recycling centre A (pedestrian / bicycle),0,48
25/05/2023,Recycling centre A (car / small van),210,400
25/05/2023,Recycling centre A (medium / large van),15,15
25/05/2023,Recycling centre A (pedestrian / bicycle),1,48
26/05/2023,Recycling centre A (car / small van),178,400
26/05/2023,Recycling centre A (medium / large van),11,15
26/05/2023,Recycling centre A (pedestrian / bicycle),2,48
27/05/2023,Recycling centre A (car / small van),242,400
27/05/2023,Recycling centre A (medium / large van),15,15
27/05/2023,Recycling centre A (pedestrian / bicycle),4,48
28/05/2023,Recycling centre A (car / small van),282,400
28/05/2023,Recycling centre A (medium / large van),15,15
28/05/2023,Recycling centre A (pedestrian / bicycle),1,48
29/05/2023,Recycling centre A (car / small van),308,400
29/05/2023,Recycling centre A (medium / large van),15,15
29/05/2023,Recycling centre A (pedestrian / bicycle),2,48
01/06/2023,Recycling centre A (car / small van),304,400
01/06/2023,Recycling centre A (medium / large van),15,15
01/06/2023,Recycling centre A (pedestrian / bicycle),2,48
02/06/2023,Recycling centre A (car / small van),204,400
02/06/2023,Recycling centre A (medium / large van),14,15
02/06/2023,Recycling centre A (pedestrian / bicycle),0,48
03/06/2023,Recycling centre A (car / small van),269,400
03/06/2023,Recycling centre A (medium / large van),15,15
03/06/2023,Recycling centre A (pedestrian / bicycle),0,48
04/06/2023,Recycling centre A (car / small van),313,400
04/06/2023,Recycling centre A (medium / large van),15,15
04/06/2023,Recycling centre A (pedestrian / bicycle),2,48
05/06/2023,Recycling centre A (car / small van),179,400
05/06/2023,Recycling centre A (medium / large van),15,15
05/06/2023,Recycling centre A (pedestrian / bicycle),1,48
08/06/2023,Recycling centre A (car / small van),242,400
08/06/2023,Recycling centre A (medium / large van),15,15
08/06/2023,Recycling centre A (pedestrian / bicycle),0,48
09/06/2023,Recycling centre A (car / small van),147,400
09/06/2023,Recycling centre A (medium / large van),15,15
09/06/2023,Recycling centre A (pedestrian / bicycle),0,48
10/06/2023,Recycling centre A (car / small van),248,400
10/06/2023,Recycling centre A (medium / large van),15,15
10/06/2023,Recycling centre A (pedestrian / bicycle),0,48
11/06/2023,Recycling centre A (car / small van),269,400
11/06/2023,Recycling centre A (medium / large van),15,15
11/06/2023,Recycling centre A (pedestrian / bicycle),2,48
12/06/2023,Recycling centre A (car / small van),140,400
12/06/2023,Recycling centre A (medium / large van),9,15
12/06/2023,Recycling centre A (pedestrian / bicycle),0,48
15/06/2023,Recycling centre A (car / small van),211,400
15/06/2023,Recycling centre A (medium / large van),15,15
15/06/2023,Recycling centre A (pedestrian / bicycle),0,48
16/06/2023,Recycling centre A (car / small van),149,400
16/06/2023,Recycling centre A (medium / large van),15,15
16/06/2023,Recycling centre A (pedestrian / bicycle),0,48
17/06/2023,Recycling centre A (car / small van),220,400
17/06/2023,Recycling centre A (medium / large van),15,15
17/06/2023,Recycling centre A (pedestrian / bicycle),1,48
18/06/2023,Recycling centre A (car / small van),266,400
18/06/2023,Recycling centre A (medium / large van),14,15
18/06/2023,Recycling centre A (pedestrian / bicycle),2,48
19/06/2023,Recycling centre A (car / small van),116,400
19/06/2023,Recycling centre A (medium / large van),15,15
19/06/2023,Recycling centre A (pedestrian / bicycle),1,48
22/06/2023,Recycling centre A (car / small van),193,400
22/06/2023,Recycling centre A (medium / large van),12,15
22/06/2023,Recycling centre A (pedestrian / bicycle),3,48
23/06/2023,Recycling centre A (car / small van),155,400
23/06/2023,Recycling centre A (medium / large van),11,15
23/06/2023,Recycling centre A (pedestrian / bicycle),1,48
24/06/2023,Recycling centre A (car / small van),239,400
24/06/2023,Recycling centre A (medium / large van),13,15
24/06/2023,Recycling centre A (pedestrian / bicycle),2,48
25/06/2023,Recycling centre A (car / small van),247,400
25/06/2023,Recycling centre A (medium / large van),14,15
25/06/2023,Recycling centre A (pedestrian / bicycle),0,48
26/06/2023,Recycling centre A (car / small van),147,400
26/06/2023,Recycling centre A (medium / large van),10,15
26/06/2023,Recycling centre A (pedestrian / bicycle),1,48
29/06/2023,Recycling centre A (car / small van),196,400
29/06/2023,Recycling centre A (medium / large van),15,15
29/06/2023,Recycling centre A (pedestrian / bicycle),1,48
30/06/2023,Recycling centre A (car / small van),127,400
30/06/2023,Recycling centre A (medium / large van),15,15
30/06/2023,Recycling centre A (pedestrian / bicycle),2,48
01/07/2023,Recycling centre A (car / small van),189,400
01/07/2023,Recycling centre A (medium / large van),15,15
01/07/2023,Recycling centre A (pedestrian / bicycle),0,48
02/07/2023,Recycling centre A (car / small van),251,400
02/07/2023,Recycling centre A (medium / large van),15,15
02/07/2023,Recycling centre A (pedestrian / bicycle),2,48
03/07/2023,Recycling centre A (car / small van),144,400
03/07/2023,Recycling centre A (medium / large van),7,15
03/07/2023,Recycling centre A (pedestrian / bicycle),0,48
06/07/2023,Recycling centre A (car / small van),170,400
06/07/2023,Recycling centre A (medium / large van),12,15
06/07/2023,Recycling centre A (pedestrian / bicycle),1,48
07/07/2023,Recycling centre A (car / small van),153,400
07/07/2023,Recycling centre A (medium / large van),8,15
07/07/2023,Recycling centre A (pedestrian / bicycle),0,48
08/07/2023,Recycling centre A (car / small van),201,400
08/07/2023,Recycling centre A (medium / large van),11,15
08/07/2023,Recycling centre A (pedestrian / bicycle),2,48
09/07/2023,Recycling centre A (car / small van),229,400
09/07/2023,Recycling centre A (medium / large van),14,15
09/07/2023,Recycling centre A (pedestrian / bicycle),0,48
10/07/2023,Recycling centre A (car / small van),139,400
10/07/2023,Recycling centre A (medium / large van),10,15
10/07/2023,Recycling centre A (pedestrian / bicycle),1,48
13/07/2023,Recycling centre A (car / small van),204,400
13/07/2023,Recycling centre A (medium / large van),12,15
13/07/2023,Recycling centre A (pedestrian / bicycle),1,48
14/07/2023,Recycling centre A (car / small van),117,400
14/07/2023,Recycling centre A (medium / large van),10,15
14/07/2023,Recycling centre A (pedestrian / bicycle),0,48
15/07/2023,Recycling centre A (car / small van),186,400
15/07/2023,Recycling centre A (medium / large van),9,15
15/07/2023,Recycling centre A (pedestrian / bicycle),1,48
16/07/2023,Recycling centre A (car / small van),263,400
16/07/2023,Recycling centre A (medium / large van),9,15
16/07/2023,Recycling centre A (pedestrian / bicycle),0,48
17/07/2023,Recycling centre A (car / small van),125,400
17/07/2023,Recycling centre A (medium / large van),6,15
17/07/2023,Recycling centre A (pedestrian / bicycle),0,48
20/07/2023,Recycling centre A (car / small van),212,400
