Date,Group,Total booked,Total spaces
04/12/2023,Recycling centre A (car / small van),96,400
04/12/2023,Recycling centre A (medium / large van),10,15
04/12/2023,Recycling centre A (pedestrian / bicycle),0,48
07/12/2023,Recycling centre A (car / small van),141,400
07/12/2023,Recycling centre A (medium / large van),15,15
07/12/2023,Recycling centre A (pedestrian / bicycle),3,48
08/12/2023,Recycling centre A (car / small van),97,400
08/12/2023,Recycling centre A (medium / large van),12,15
08/12/2023,Recycling centre A (pedestrian / bicycle),1,48
09/12/2023,Recycling centre A (car / small van),167,400
09/12/2023,Recycling centre A (medium / large van),14,15
09/12/2023,Recycling centre A (pedestrian / bicycle),0,48
10/12/2023,Recycling centre A (car / small van),196,400
10/12/2023,Recycling centre A (medium / large van),15,15
10/12/2023,Recycling centre A (pedestrian / bicycle),1,48
11/12/2023,Recycling centre A (car / small van),116,400
11/12/2023,Recycling centre A (medium / large van),13,15
11/12/2023,Recycling centre A (pedestrian / bicycle),0,48
14/12/2023,Recycling centre A (car / small van),135,400
14/12/2023,Recycling centre A (medium / large van),13,15
14/12/2023,Recycling centre A (pedestrian / bicycle),0,48
15/12/2023,Recycling centre A (car / small van),123,400
15/12/2023,Recycling centre A (medium / large van),11,15
15/12/2023,Recycling centre A (pedestrian / bicycle),1,48
16/12/2023,Recycling centre A (car / small van),161,400
16/12/2023,Recycling centre A (medium / large van),12,15
16/12/2023,Recycling centre A (pedestrian / bicycle),1,48
17/12/2023,Recycling centre A (car / small van),206,400
17/12/2023,Recycling centre A (medium / large van),15,15
17/12/2023,Recycling centre A (pedestrian / bicycle),1,48
18/12/2023,Recycling centre A (car / small van),105,400
18/12/2023,Recycling centre A (medium / large van),15,15
18/12/2023,Recycling centre A (pedestrian / bicycle),0,48
21/12/2023,Recycling centre A (car / small van),235,400
21/12/2023,Recycling centre A (medium / large van),14,15
21/12/2023,Recycling centre A (pedestrian / bicycle),1,48
22/12/2023,Recycling centre A (car / small van),196,400
22/12/2023,Recycling centre A (medium / large van),15,15
22/12/2023,Recycling centre A (pedestrian / bicycle),2,48
23/12/2023,Recycling centre A (car / small van),232,400
23/12/2023,Recycling centre A (medium / large van),15,15
23/12/2023,Recycling centre A (pedestrian / bicycle),3,48
24/12/2023,Recycling centre A (car / small van),165,400
24/12/2023,Recycling centre A (medium / large van),15,15
24/12/2023,Recycling centre A (pedestrian / bicycle),1,48
28/12/2023,Recycling centre A (car / small van),292,400
28/12/2023,Recycling centre A (medium / large van),13,15
28/12/2023,Recycling centre A (pedestrian / bicycle),1,48
29/12/2023,Recycling centre A (car / small van),215,400
29/12/2023,Recycling centre A (medium / large van),11,15
29/12/2023,Recycling centre A (pedestrian / bicycle),0,48
30/12/2023,Recycling centre A (car / small van),225,400
30/12/2023,Recycling centre A (medium / large van),12,15
30/12/2023,Recycling centre A (pedestrian / bicycle),0,48
31/12/2023,Recycling centre A (car / small van),214,400
31/12/2023,Recycling centre A (medium / large van),9,15
31/12/2023,Recycling centre A (pedestrian / bicycle),1,48
04/01/2024,Recycling centre A (car / small van),236,400
04/01/2024,Recycling centre A (medium / large van),15,15
04/01/2024,Recycling centre A (pedestrian / bicycle),2,48
05/01/2024,Recycling centre A (car / small van),138,400
05/01/2024,Recycling centre A (medium / large van),12,15
05/01/2024,Recycling centre A (pedestrian / bicycle),1,48
06/01/2024,Recycling centre A (car / small van),238,400
06/01/2024,Recycling centre A (medium / large van),12,15
06/01/2024,Recycling centre A (pedestrian / bicycle),0,48
07/01/2024,Recycling centre A (car / small van),252,400
07/01/2024,Recycling centre A (medium / large van),13,15
07/01/2024,Recycling centre A (pedestrian / bicycle),0,48
08/01/2024,Recycling centre A (car / small van),106,400
08/01/2024,Recycling centre A (medium / large van),6,15
08/01/2024,Recycling centre A (pedestrian / bicycle),0,48
11/01/2024,Recycling centre A (car / small van),135,400
11/01/2024,Recycling centre A (medium / large van),8,15
11/01/2024,Recycling centre A (pedestrian / bicycle),1,48
12/01/2024,Recycling centre A (car / small van),99,400
12/01/2024,Recycling centre A (medium / large van),8,15
12/01/2024,Recycling centre A (pedestrian / bicycle),0,48
13/01/2024,Recycling centre A (car / small van),178,400
13/01/2024,Recycling centre A (medium / large van),10,15
13/01/2024,Recycling centre A (pedestrian / bicycle),0,48
14/01/2024,Recycling centre A (car / small van),224,400
14/01/2024,Recycling centre A (medium / large van),9,15
14/01/2024,Recycling centre A (pedestrian / bicycle),3,48
15/01/2024,Recycling centre A (car / small van),96,400
15/01/2024,Recycling centre A (medium / large van),8,15
15/01/2024,Recycling centre A (pedestrian / bicycle),1,48
18/01/2024,Recycling centre A (car / small van),123,400
18/01/2024,Recycling centre A (medium / large van),14,15
18/01/2024,Recycling centre A (pedestrian / bicycle),0,48
19/01/2024,Recycling centre A (car / small van),89,400
19/01/2024,Recycling centre A (medium / large van),9,15
19/01/2024,Recycling centre A (pedestrian / bicycle),0,48
20/01/2024,Recycling centre A (car / small van),168,400
20/01/2024,Recycling centre A (medium / large van),14,15
20/01/2024,Recycling centre A (pedestrian / bicycle),2,48
21/01/2024,Recycling centre A (car / small van),214,400
21/01/2024,Recycling centre A (medium / large van),14,15
21/01/2024,Recycling centre A (pedestrian / bicycle),0,48
22/01/2024,Recycling centre A (car / small van),89,400
22/01/2024,Recycling centre A (medium / large van),6,15
22/01/2024,Recycling centre A (pedestrian / bicycle),2,48
25/01/2024,Recycling centre A (car / small van),119,400
25/01/2024,Recycling centre A (medium / large van),9,15
25/01/2024,Recycling centre A (pedestrian / bicycle),0,48
26/01/2024,Recycling centre A (car / small van),90,400
26/01/2024,Recycling centre A (medium / large van),9,15
26/01/2024,Recycling centre A (pedestrian / bicycle),1,48
27/01/2024,Recycling centre A (car / small van),166,400
27/01/2024,Recycling centre A (medium / large van),12,15
27/01/2024,Recycling centre A (pedestrian / bicycle),1,48
28/01/2024,Recycling centre A (car / small van),209,400
28/01/2024,Recycling centre A (medium / large van),15,15
28/01/2024,Recycling centre A (pedestrian / bicycle),0,48
29/01/2024,Recycling centre A (car / small van),94,400
29/01/2024,Recycling centre A (medium / large van),8,15
29/01/2024,Recycling centre A (pedestrian / bicycle),0,48
01/02/2024,Recycling centre A (car / small van),145,400
01/02/2024,Recycling centre A (medium / large van),15,15
01/02/2024,Recycling centre A (pedestrian / bicycle),2,48
02/02/2024,Recycling centre A (car / small van),112,400
02/02/2024,Recycling centre A (medium / large van),15,15
02/02/2024,Recycling centre A (pedestrian / bicycle),1,48
03/02/2024,Recycling centre A (car / small van),174,400
03/02/2024,Recycling centre A (medium / large van),15,15
03/02/2024,Recycling centre A (pedestrian / bicycle),0,48
04/02/2024,Recycling centre A (car / small van),218,400
04/02/2024,Recycling centre A (medium / large van),15,15
04/02/2024,Recycling centre A (pedestrian / bicycle),2,48
05/02/2024,Recycling centre A (car / small van),100,400
05/02/2024,Recycling centre A (medium / large van),9,15
05/02/2024,Recycling centre A (pedestrian / bicycle),1,48
08/02/2024,Recycling centre A (car / small van),123,400
08/02/2024,Recycling centre A (medium / large van),15,15
08/02/2024,Recycling centre A (pedestrian / bicycle),1,48
09/02/2024,Recycling centre A (car / small van),90,400
09/02/2024,Recycling centre A (medium / large van),12,15
09/02/2024,Recycling centre A (pedestrian / bicycle),0,48
10/02/2024,Recycling centre A (car / small van),163,400
10/02/2024,Recycling centre A (medium / large van),9,15
10/02/2024,Recycling centre A (pedestrian / bicycle),1,48
11/02/2024,Recycling centre A (car / small van),198,400
11/02/2024,Recycling centre A (medium / large van),15,15
11/02/2024,Recycling centre A (pedestrian / bicycle),1,48
12/02/2024,Recycling centre A (car / small van),126,400
12/02/2024,Recycling centre A (medium / large van),9,15
12/02/2024,Recycling centre A (pedestrian / bicycle),1,48
15/02/2024,Recycling centre A (car / small van),167,400
15/02/2024,Recycling centre A (medium / large van),6,15
15/02/2024,Recycling centre A (pedestrian / bicycle),0,48
16/02/2024,Recycling centre A (car / small van),104,400
16/02/2024,Recycling centre A (medium / large van),9,15
16/02/2024,Recycling centre A (pedestrian / bicycle),0,48
17/02/2024,Recycling centre A (car / small van),205,400
17/02/2024,Recycling centre A (medium / large van),13,15
17/02/2024,Recycling centre A (pedestrian / bicycle),2,48
18/02/2024,Recycling centre A (car / small van),233,400
18/02/2024,Recycling centre A (medium / large van),14,15
18/02/2024,Recycling centre A (pedestrian / bicycle),0,48
19/02/2024,Recycling centre A (car / small van),99,400
19/02/2024,Recycling centre A (medium / large van),13,15
19/02/2024,Recycling centre A (pedestrian / bicycle),1,48
22/02/2024,Recycling centre A (car / small van),125,400
22/02/2024,Recycling centre A (medium / large van),14,15
22/02/2024,Recycling centre A (pedestrian / bicycle),1,48
23/02/2024,Recycling centre A (car / small van),80,400
23/02/2024,Recycling centre A (medium / large van),8,15
23/02/2024,Recycling centre A (pedestrian / bicycle),3,48
24/02/2024,Recycling centre A (car / small van),187,400
24/02/2024,Recycling centre A (medium / large van),15,15
24/02/2024,Recycling centre A (pedestrian / bicycle),2,48
25/02/2024,Recycling centre A (car / small van),219,400
25/02/2024,Recycling centre A (medium / large van),15,15
25/02/2024,Recycling centre A (pedestrian / bicycle),2,48
26/02/2024,Recycling centre A (car / small van),96,400
26/02/2024,Recycling centre A (medium / large van),6,15
26/02/2024,Recycling centre A (pedestrian / bicycle),0,48
29/02/2024,Recycling centre A (car / small van),146,400
29/02/2024,Recycling centre A (medium / large van),15,15
29/02/2024,Recycling centre A (pedestrian / bicycle),2,48
01/03/2024,Recycling centre A (car / small van),82,400
01/03/2024,Recycling centre A (medium / large van),13,15
01/03/2024,Recycling centre A (pedestrian / bicycle),0,48
02/03/2024,Recycling centre A (car / small van),135,400
02/03/2024,Recycling centre A (medium / large van),13,15
02/03/2024,Recycling centre A (pedestrian / bicycle),0,48
03/03/2024,Recycling centre A (car / small van),204,400
03/03/2024,Recycling centre A (medium / large van),15,15
03/03/2024,Recycling centre A (pedestrian / bicycle),2,48
04/03/2024,Recycling centre A (car / small van),112,400
04/03/2024,Recycling centre A (medium / large van),8,15
04/03/2024,Recycling centre A (pedestrian / bicycle),1,48
07/03/2024,Recycling centre A (car / small van),194,400
07/03/2024,Recycling centre A (medium / large van),10,15
07/03/2024,Recycling centre A (pedestrian / bicycle),1,48
08/03/2024,Recycling centre A (car / small van),121,400
08/03/2024,Recycling centre A (medium / large van),5,15
08/03/2024,Recycling centre A (pedestrian / bicycle),0,48
09/03/2024,Recycling centre A (car / small van),196,400
09/03/2024,Recycling centre A (medium / large van),11,15
09/03/2024,Recycling centre A (pedestrian / bicycle),2,48
10/03/2024,Recycling centre A (car / small van),210,400
10/03/2024,Recycling centre A (medium / large van),8,15
10/03/2024,Recycling centre A (pedestrian / bicycle),1,48
11/03/2024,Recycling centre A (car / small van),93,400
11/03/2024,Recycling centre A (medium / large van),10,15
11/03/2024,Recycling centre A (pedestrian / bicycle),1,48
14/03/2024,Recycling centre A (car / small van),133,400
14/03/2024,Recycling centre A (medium / large van),10,15
14/03/2024,Recycling centre A (pedestrian / bicycle),1,48
15/03/2024,Recycling centre A (car / small van),98,400
15/03/2024,Recycling centre A (medium / large van),10,15
15/03/2024,Recycling centre A (pedestrian / bicycle),0,48
16/03/2024,Recycling centre A (car / small van),195,400
16/03/2024,Recycling centre A (medium / large van),15,15
16/03/2024,Recycling centre A (pedestrian / bicycle),0,48
17/03/2024,Recycling centre A (car / small van),227,400
17/03/2024,Recycling centre A (medium / large van),14,15
17/03/2024,Recycling centre A (pedestrian / bicycle),1,48
18/03/2024,Recycling centre A (car / small van),99,400
18/03/2024,Recycling centre A (medium / large van),7,15
18/03/2024,Recycling centre A (pedestrian / bicycle),2,48
21/03/2024,Recycling centre A (car / small van),168,400
21/03/2024,Recycling centre A (medium / large van),10,15
21/03/2024,Recycling centre A (pedestrian / bicycle),1,48
22/03/2024,Recycling centre A (car / small van),135,400
22/03/2024,Recycling centre A (medium / large van),9,15
22/03/2024,Recycling centre A (pedestrian / bicycle),4,48
23/03/2024,Recycling centre A (car / small van),231,400
23/03/2024,Recycling centre A (medium / large van),15,15
23/03/2024,Recycling centre A (pedestrian / bicycle),1,48
24/03/2024,Recycling centre A (car / small van),253,400
24/03/2024,Recycling centre A (medium / large van),15,15
24/03/2024,Recycling centre A (pedestrian / bicycle),1,48
25/03/2024,Recycling centre A (car / small van),121,400
25/03/2024,Recycling centre A (medium / large van),15,15
25/03/2024,Recycling centre A (pedestrian / bicycle),2,48
28/03/2024,Recycling centre A (car / small van),206,400
28/03/2024,Recycling centre A (medium / large van),15,15
28/03/2024,Recycling centre A (pedestrian / bicycle),0,48
29/03/2024,Recycling centre A (car / small van),212,400
29/03/2024,Recycling centre A (medium / large van),15,15
29/03/2024,Recycling centre A (pedestrian / bicycle),0,48
30/03/2024,Recycling centre A (car / small van),235,400
30/03/2024,Recycling centre A (medium / large van),15,15
30/03/2024,Recycling centre A (pedestrian / bicycle),0,48
31/03/2024,Recycling centre A (car / small van),155,400
31/03/2024,Recycling centre A (medium / large van),15,15
31/03/2024,Recycling centre A (pedestrian / bicycle),1,48
